股票代码,股票名称,市场,流通股本,更新日期,上市日期,总股本,国有股,发起人法人股,法人股,B股,H股,职工股,总资产,流动资产,固定资产,无形资产,股东人数,流动负债,长期负债,资本公积金,净资产,主营收入,主营利润,应收账款,营业利润,投资收益,经营现金流,总现金流,存货,综合利润,税后利润,净利润,未分配利润,每股净资产
000001,平安银行,深市,19405601250.0,20250825,19910403,19405918750.0,19660000,258790000000.0,771320000000.0,0.0,0.0,11799.99947547913,58749614080000.0,0.0,81630000000.0,58560000000.0,443583,0.0,0.0,807020000000.0,5100620160000.0,693850000000.0,392830000000.0,0.0,301020000000.0,127300000000.0,1746820000000.0,487260000000.0,0.0,299320000000.0,248700000000.0,248700000000.0,2592070080000.0,22.68000030517578
000002,万科A,深市,9716399375.0,20250823,19910129,11930710000.0,20700000,-98524990000.0,1427787520000.0,0.0,2206512968.75,-10099.99990463257,11941488640000.0,8389285760000.0,204065560000.0,80385030000.0,522030,6410727680000.0,1297197280000.0,269780780000.0,1914408160000.0,1053232960000.0,948245440000.0,93121590000.0,-88240150000.0,-5679800000.0,-30387047500.0,-145264640000.0,4625185600000.0,-91383540000.0,-108649820000.0,-119465740000.0,321913000000.0,16.04999923706055
000004,*ST国华,深市,126287802.734375,20251015,19901201,132380302.734375,18650000,-190048593.75,371176992.1875,0.0,0.0,-3199.999928474426,2797564062.5,1379498125.0,107721992.1875,277870996.09375,21041,2006064062.5,85080000.0,12321915000.0,221976992.1875,285025000.0,121174003.90625,627681015.625,-312579003.90625,0.0,-294150996.09375,-339366992.1875,74406000.9765625,-440143007.8125,-440931992.1875,-418408007.8125,-13557881250.0,0.1679999977350235
000006,深振业A,深市,1349987343.75,20250829,19920427,1349995000.0,20700000,-3459923125.0,32366145000.0,0.0,0.0,-500.0000074505806,160974090000.0,142357650000.0,606889023.4375,0.0,59596,67916655000.0,2854398125.0,4843215937.5,53327995000.0,18827068750.0,15754001250.0,437821015.625,-611500000.0,1270000.0,7272645000.0,3472980000.0,91518720000.0,-588747031.25,-724968046.875,-709766015.625,13202170000.0,3.950000047683716
000007,全新好,深市,346448007.8125,20250830,19920413,346448007.8125,20700000,30960300.29296875,785302890.625,0.0,0.0,99.99999776482582,3155215000.0,2129407968.75,436641015.625,382999.9923706055,11770,1077790000.0,117443994.140625,1570240937.5,1826428906.25,1933807968.75,1722384062.5,197705000.0,27507998.046875,801000.0610351562,1745757031.25,-79577001.953125,449133007.8125,36273000.48828125,28348999.0234375,33882001.953125,-3279628125.0,0.5270000100135803
000008,神州高铁,深市,2716296875.0,20251010,19920507,2716377812.5,12370000,-1745614375.0,5269834375.0,0.0,0.0,-399.9999910593033,92251740000.0,38001887500.0,4628614062.5,1426040937.5,100376,42814320000.0,762328984.375,26408380000.0,29327227500.0,5721890000.0,3993071250.0,17682872500.0,-929888984.375,533950976.5625,-644098007.8125,-2600685937.5,7860256250.0,-889612031.25,-951755000.0,-949687968.75,-25029595000.0,1.080000042915344
000009,中国宝安,深市,2576020468.75,20251013,19910625,2579213906.25,19690000,1957917500.0,100297720000.0,0.0,0.0,900.0000357627869,560491960000.0,312491800000.0,147614810000.0,16233951250.0,148500,190195820000.0,123416490000.0,14011005000.0,100429540000.0,108393050000.0,78308440000.0,58406175000.0,10392705000.0,1342170937.5,184259003.90625,-2874050937.5,121264920000.0,10327463125.0,8425825000.0,2437867031.25,56863960000.0,3.894000053405762
000010,美丽生态,深市,781554062.5,20250829,19951027,1149652265.625,14480000,-989211718.75,1201265468.75,0.0,0.0,-399.9999910593033,27870562500.0,21738167500.0,61583002.9296875,17905999.75585938,34151,24242160000.0,337248984.375,21064335000.0,3058155000.0,2301586875.0,2055845000.0,16220406250.0,-535199023.4375,-2020000.0,-713758984.375,-837520000.0,1025800937.5,-570878984.375,-583087031.25,-486447031.25,-28592335000.0,0.2660000026226044
000011,深物业A,深市,526475507.8125,20250829,19920330,595979101.5625,20700000,92124599.609375,8560284375.0,67605200.1953125,0.0,199.9999955296516,166391000000.0,146468440000.0,457118007.8125,4100000.0,35537,76265995000.0,-1358477968.75,804880000.0,33759112500.0,10879088750.0,8135045000.0,5586630000.0,110174003.90625,-23696000.9765625,-1071875000.0,11709036250.0,107613690000.0,226092988.28125,100755996.09375,144280000.0,25772080000.0,5.664999961853027
000012,南玻A,深市,1959316562.5,20250930,19920228,3070692187.5,12300000,7331115625.0,80789705000.0,1109369062.5,0.0,199.9999955296516,316775000000.0,99096670000.0,133160350000.0,23079630000.0,127758,107936700000.0,4566593125.0,5907394375.0,132154450000.0,64835620000.0,55420300000.0,20269337500.0,460250976.5625,-44514003.90625,3846951875.0,-3933037812.5,19380626250.0,553097031.25,644966015.625,745315000.0,80870570000.0,4.303999900817871
000014,沙河股份,深市,242046191.40625,20250830,19920602,242046191.40625,20700000,541075898.4375,2717426562.5,0.0,0.0,-799.9999821186066,23261760000.0,19523840000.0,180780000.0,0.0,19507,6500815000.0,516621015.625,99692001.953125,16045870000.0,142870996.09375,102037998.046875,57350000.0,-238120996.09375,0.0,566820000.0,542131015.625,14170895000.0,-238350996.09375,-191431015.625,-189600000.0,10639101250.0,6.629000186920166
000016,深康佳A,深市,1596593750.0,20250829,19920327,2407945468.75,12390000,-10875818750.0,54125305000.0,811351562.5,0.0,-1599.999964237213,299334880000.0,124778860000.0,48571300000.0,9647825625.0,151794,210124440000.0,-2443602968.75,3883196250.0,18619048750.0,52475080000.0,49829430000.0,13843773750.0,-2824015000.0,5403470000.0,-6756234375.0,-2877972187.5,24811877500.0,-2767495000.0,-4971190000.0,-3833280000.0,-21806955000.0,0.7730000019073486
000017,深中华A,深市,302985000.0,20250819,19920331,689184921.875,12240000,57176401.3671875,2134995937.5,248363007.8125,0.0,299.9999932944775,4962310937.5,4840264062.5,27720000.0,0.0,51528,1218270000.0,97072998.046875,7977092500.0,3618971875.0,3199435937.5,2850890937.5,1630113906.25,231428007.8125,0.0,-385034023.4375,-212100000.0,2436325937.5,239816992.1875,189251992.1875,185706992.1875,-11572352500.0,0.5249999761581421
000019,深粮控股,深市,416216406.25,20251013,19921012,1152535234.375,15510000,1290012734.375,24164530000.0,51749301.7578125,0.0,1500.000059604645,70586375000.0,40499375000.0,19962112500.0,4481912812.5,41204,19732137500.0,16657000.73242188,12719082500.0,49226720000.0,23842275000.0,19421451250.0,2550934062.5,2194684062.5,-44626997.0703125,7372786250.0,139737998.046875,34989650000.0,2193155000.0,1759782031.25,1760155000.0,18811040000.0,4.270999908447266
000020,深华发A,深市,181165390.625,20250819,19920428,283161191.40625,12390000,100545800.78125,4081825000.0,101995800.78125,0.0,500.0000074505806,7457299375.0,4992348125.0,1626365937.5,332612968.75,28422,3221760937.5,0.0,1465776875.0,4179990000.0,4561793125.0,4015993125.0,2283589062.5,172673007.8125,4036000.061035156,-604183007.8125,-613308007.8125,761118984.375,172798007.8125,143399003.90625,143399003.90625,-891316015.625,1.47599995136261
000021,深科技,深市,1567029375.0,20251013,19940202,1567280625.0,12390000,3603169062.5,70545645000.0,0.0,0.0,2899.999916553497,288249920000.0,162533120000.0,61390350000.0,3098672187.5,228465,126124110000.0,30290240000.0,25919017500.0,123268090000.0,77396525000.0,65208005000.0,38538885000.0,7340188125.0,289537988.28125,14563325000.0,29141315000.0,23900260000.0,7342225000.0,6002305625.0,4518173750.0,65572230000.0,7.864999771118164
000025,特力A,深市,392778281.25,20250822,19930621,431058281.25,15510000,766624765.625,15800237500.0,38280000.0,0.0,1899.999976158142,27254427500.0,8819068125.0,664187968.75,64589003.90625,50855,6817503125.0,1684585000.0,4308664062.5,17677922500.0,8782725625.0,7366646250.0,965244062.5,1036503984.375,60282001.953125,1548062968.75,-918871015.625,650980000.0,1070028046.875,816306015.625,840133984.375,8392507500.0,4.10099983215332
000026,飞亚达,深市,364563007.8125,20251013,19930603,405763984.375,15520000,1471384843.75,20763980000.0,40580900.87890625,0.0,2000.000029802322,38786862500.0,28690095000.0,3685646250.0,308190996.09375,38037,5161487187.5,0.0,9356092500.0,33336097500.0,17841318750.0,11498086250.0,2955521250.0,1045757968.75,7420000.0,2514907031.25,199753007.8125,18447340000.0,1055605937.5,824455000.0,824455000.0,16876576250.0,8.215999603271484
000027,深圳能源,深市,4757390000.0,20251015,19930903,4757390000.0,13440000,17539861250.0,197989760000.0,0.0,0.0,3400.000035762787,1697245600000.0,409518160000.0,704983440000.0,214609580000.0,112564,349047720000.0,147636240000.0,52107660000.0,499638880000.0,211391440000.0,162042810000.0,171832960000.0,28861240000.0,3285626250.0,38797902500.0,40212595000.0,14319540000.0,29325677500.0,22382765000.0,17048770000.0,163969120000.0,6.820000171661377
000028,国药一致,深市,478053710.9375,20250830,19930809,556565117.1875,15510000,7434871875.0,377859800000.0,71351298.828125,0.0,12000.00047683716,504261360000.0,408627440000.0,8197071875.0,4633337187.5,40566,274633880000.0,31142500000.0,42650545000.0,181361720000.0,367965960000.0,328648120000.0,237471580000.0,9264965000.0,1361263906.25,150666005.859375,-7118413125.0,80643620000.0,9181131875.0,7125936875.0,6659072500.0,130377550000.0,32.58599853515625
000029,深深房A,深市,891660000.0,20250828,19930915,1011660000.0,20700000,56227900.390625,1342251250.0,120000000.0,0.0,1000.000014901161,54099695000.0,48077480000.0,159975000.0,0.0,36349,18421023750.0,-1171121953.125,9782449375.0,36215090000.0,6373661250.0,4637180000.0,431728984.375,1236895000.0,995999.9847412109,-874221953.125,-2323474062.5,31826980000.0,1237080000.0,1022117968.75,1030275937.5,13269211250.0,3.579999923706055
000030,富奥股份,深市,1670906406.25,20251013,19930929,1719810781.25,12360000,3167793750.0,76005650000.0,47818901.3671875,0.0,1800.000071525574,180918220000.0,93829060000.0,31971160000.0,5721776875.0,29936,69475025000.0,15715893750.0,4969396875.0,80110790000.0,78568580000.0,69594730000.0,39356595000.0,4231865000.0,2403182031.25,-619478984.375,-3446045000.0,13373706250.0,4252993125.0,3981775000.0,3038910000.0,50390330000.0,4.599999904632568
000031,大悦城,深市,4286304687.5,20250830,19931008,4286313437.5,20700000,-3636515312.5,160822720000.0,0.0,0.0,299.9999932944775,1693891200000.0,1113481280000.0,30181147500.0,14522587500.0,96562,762009680000.0,312396320000.0,85670610000.0,107809210000.0,152314520000.0,96951480000.0,5654769375.0,14225962500.0,-4304805000.0,26870725000.0,-30990915000.0,660037280000.0,14460897500.0,7476246250.0,1086048046.875,-27470785000.0,2.515000104904175
000032,深桑达A,深市,1089363828.125,20250828,19931028,1137959218.75,14490000,-378913593.75,332501680000.0,0.0,0.0,-900.0000357627869,679072080000.0,562688960000.0,50266600000.0,10299431250.0,66763,459751920000.0,57628945000.0,34197727500.0,62538880000.0,234342080000.0,212750500000.0,121791180000.0,2387792968.75,-435891015.625,-44583530000.0,-44355510000.0,15514431250.0,2334114062.5,233290996.09375,-974890000.0,13980380000.0,5.495999813079834
000034,神州数码,深市,601592500.0,20251010,19940509,720196171.875,15510000,5093436875.0,625621400000.0,0.0,0.0,6399.999856948853,484455240000.0,390424320000.0,7241025000.0,6096278125.0,164700,319319280000.0,7527755000.0,56910580000.0,108245240000.0,715855040000.0,690864880000.0,139649510000.0,5417038125.0,-537423007.8125,5043487187.5,-10950140000.0,139875640000.0,5400678750.0,4509523125.0,4263884062.5,42383405000.0,15.02999973297119
000035,中国天楹,深市,2425832656.25,20250822,19940408,2500783125.0,23770000,3600700000.0,26488385000.0,0.0,0.0,900.0000357627869,318765820000.0,72236755000.0,25590547500.0,149107740000.0,46897,92931220000.0,1666580000.0,80633040000.0,108513490000.0,25767720000.0,17809987500.0,24961272500.0,2806022187.5,34710000.0,3551656875.0,14745461250.0,3645098125.0,2818003750.0,2150343906.25,2115445000.0,35783812500.0,4.339000225067139
